id	text	watermark
1	Throwing grapes at a man until he loses touch with reality.	US
2	My Uber driver, Pavel.	US
3	The Hamburglar.	US
4	A stray pube.	US
5	White privilege.	US
6	Facebook.	US
7	Pac-Man uncontrollably guzzling cum.	US
8	Forced sterilization.	US
9	An Oedipus complex.	US
10	Scientology.	US
11	My fat daughter.	US
12	Active listening.	US
13	Vigorous jazz hands.	US
14	An M. Night Shyamalan plot twist.	US
15	The rhythms of Africa.	US
16	The homosexual agenda.	US
17	Having big dreams but no realistic way to achieve them.	US
18	A time travel paradox.	US
19	Lactation.	US
20	Dick fingers.	US
21	Dying.	US
22	My good bra.	US
23	Me time.	US
24	Smallpox blankets.	US
25	J.D. Power and his associates.	US
26	Seeing my father cry.	US
27	Seppuku.	US
28	Adderall.&reg;	US
29	Hot people.	US
30	Dead babies.	US
31	Not reciprocating oral sex.	US
32	50 mg of Zoloft daily.	US
33	A bleached asshole.	US
34	Flesh-eating bacteria.	US
35	Itchy pussy.	US
36	Foreskin.	US
37	Worshipping that pussy.	US
38	How far I can get my own penis up my butt.	US
39	World peace.	US
40	Expecting a burp and vomiting on the floor.	US
41	Kamikaze pilots.	US
42	Anal beads.	US
43	Being rich.	US
44	The Three-Fifths Compromise.	US
45	Shapeshifters.	US
46	Lockjaw.	US
47	Getting so angry that you pop a boner.	US
48	Child beauty pageants.	US
49	Breaking out into song and dance.	US
50	Pretending to care.	US
51	Waiting till marriage.	US
52	The wifi password.	US
53	Being a woman.	US
54	The past.	US
55	Catapults.	US
56	A lifetime of sadness.	US
57	Going an entire day without masturbating.	US
58	Dwayne \"The Rock\" Johnson.	US
59	A saxophone solo.	US
60	Being marginalized.	US
61	The penny whistle solo from \"My Heart Will Go On.\"	US
62	A fart so powerful that it wakes the giants from their thousand-year slumber.	US
63	My genitals.	US
64	Little boy penises.	US
65	Punching a congressman in the face.	US
66	Some god damn peace and quiet.	US
67	BATMAN!	US
68	Ruth Bader Ginsburg brutally gaveling your penis.	US
69	Preteens.	US
70	More elephant cock than I bargained for.	US
71	Smegma.	US
72	A micropenis.	US
73	My ugly face and bad personality.	US
74	A good sniff.	US
75	Explaining how vaginas work.	US
76	Genuine human connection.	US
77	An old guy who's almost dead.	US
78	My cheating son-of-a-bitch husband.	US
79	Fox News.	US
80	Being a motherfucking sorcerer.	US
81	The Red Hot Chili Peppers.	US
82	Holding down a child and farting all over him.	US
83	The KKK.	US
84	Land mines.	US
85	Centaurs.	US
86	Seven dead and three in critical condition.	US
87	My relationship status.	US
88	A mating display.	US
89	Auschwitz.	US
90	Used panties.	US
91	Alcoholism.	US
92	Sexual peeing.	US
93	A windmill full of corpses.	US
94	Darth Vader.	US
95	Daniel Radcliffe's delicious asshole.	US
96	A good, strong gorilla.	US
97	Huffing spray paint.	US
98	Half-assed foreplay.	US
99	Nipple blades.	US
100	Being able to talk to elephants.	US
101	Making a pouty face.	US
102	Drowning the kids in the bathtub.	US
103	Emerging from the sea and rampaging through Tokyo.	US
104	Hospice care.	US
105	Magnets.	US
106	Touching a pug right on his penis.	US
107	Vladimir Putin.	US
108	Spontaneous human combustion.	US
109	Leprosy.	US
110	Seething with quiet resentment.	US
111	Explosions.	US
112	Licking things to claim them as your own.	US
113	Consensual sex.	US
114	Getting married, having a few kids, buying some stuff, retiring to Florida, and dying.	US
115	Nickelback.	US
116	The Boy Scouts of America.	US
117	Bananas.	US
118	Masturbating.	US
119	All the dues I've fucked.	US
120	Famine.	US
121	Hillary Clinton's emails.	US
122	Executing a hostage every hour.	US
123	Running out of semen.	US
124	Jews, gypsies, and homosexuals.	US
125	The arrival of the pizza.	US
126	Goblins.	US
127	Laying an egg.	US
128	A bowl of mayonnaise and human teeth.	US
129	A micropig wearing a tiny raincoat and booties.	US
130	A bitch slap.	US
131	Giving 110%.	US
132	Inserting a Mason jar into my anus.	US
133	A man on the brink of orgasm.	US
134	A much younger woman.	US
135	10,000 Syrian refugees.	US
136	A sad handjob.	US
137	Police brutality.	US
138	Throwing a virgin into a volcano.	US
139	A sea of troubles.	US
140	Multiple stab wounds.	US
141	Filling my briefcase with business stuff.	US
142	A tiny horse.	US
143	The Kool-Aid Man.	US
144	Grandma.	US
145	A bag of magic beans.	US
146	Doing the right thing.	US
147	Emma Watson.	US
148	Racism.	US
149	Powerful thighs.	US
150	Men.	US
151	Farting and walking away.	US
152	Pedophiles.	US
153	German Chancellor Angela Merkel.	US
154	Peeing a little bit.	US
155	Viagra.&reg;	US
156	Ronald Reagan.	US
157	Bisexuality.	US
158	The clitoris.	US
159	Soft, kissy missionary sex.	US
160	Sitting on my face and telling me I'm garbage.	US
161	A balanced breakfast.	US
162	Puberty.	US
163	Poor people.	US
164	Harry Potter erotica.	US
165	Penis breath.	US
166	Agriculture.	US
167	Committing suicide.	US
168	The heart of a child.	US
169	Aaron Burr.	US
170	Republicans.	US
171	Justin Bieber.	US
